epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.838,2.19034,4.14028,1.86788,0.00512,0.45799,0.07089,0.02213,1.99729,3.66143,1.7288,0.00029694,0.00029694,0.00029694
2,260.98,2.10302,3.01315,1.69383,0.88392,0.10698,0.13492,0.05027,2.01345,2.85161,1.75343,0.000588061,0.000588061,0.000588061
3,280.177,2.05832,2.73461,1.71329,0.75296,0.19159,0.17871,0.06061,2.14968,2.61146,1.94642,0.000867184,0.000867184,0.000867184
4,300.717,2.03126,2.48505,1.67078,0.83608,0.18896,0.22078,0.08732,2.06834,2.11044,1.77309,0.000855005,0.000855005,0.000855005
5,319.43,2.00117,2.37577,1.66898,0.76254,0.22399,0.25452,0.0994,2.00751,2.03666,1.77696,0.000837007,0.000837007,0.000837007
6,338.35,1.97723,2.29227,1.65278,0.81206,0.22693,0.26909,0.10373,2.01374,1.95028,1.73217,0.000819009,0.000819009,0.000819009
7,358.447,1.91522,2.10399,1.61067,0.69138,0.25144,0.31311,0.11593,2.03053,1.92291,1.76816,0.000801011,0.000801011,0.000801011
8,377.434,1.93516,2.10013,1.64844,0.57376,0.26163,0.29476,0.10586,2.00034,2.0963,1.86277,0.000783013,0.000783013,0.000783013
9,397.239,1.94031,1.99656,1.62318,0.25642,0.37206,0.29308,0.11683,2.00745,1.99457,1.75426,0.000765014,0.000765014,0.000765014
10,416.371,1.91132,1.94065,1.61879,0.71483,0.34474,0.37322,0.15309,1.96016,1.76624,1.67949,0.000747016,0.000747016,0.000747016
11,434.982,1.89736,1.85954,1.59628,0.71904,0.29565,0.31154,0.1267,2.06516,1.79904,1.74665,0.000729018,0.000729018,0.000729018
12,455.039,1.87814,1.7903,1.56615,0.75138,0.32487,0.40661,0.14442,2.07831,1.73457,1.76241,0.00071102,0.00071102,0.00071102
13,473.664,1.8661,1.7674,1.57537,0.43985,0.45937,0.40942,0.15689,2.04717,1.75377,1.74966,0.000693022,0.000693022,0.000693022
14,492.397,1.85251,1.74791,1.5587,0.41364,0.34811,0.36829,0.15261,1.98303,1.76394,1.69731,0.000675023,0.000675023,0.000675023
15,512.193,1.79444,1.63644,1.51899,0.83893,0.30819,0.40321,0.15244,2.0153,1.76821,1.7367,0.000657025,0.000657025,0.000657025
16,530.426,1.818,1.60616,1.54677,0.6093,0.35904,0.43509,0.1729,2.00763,1.63927,1.74984,0.000639027,0.000639027,0.000639027
17,548.827,1.79782,1.59429,1.53352,0.57743,0.44956,0.43291,0.16338,2.01879,1.6815,1.74172,0.000621029,0.000621029,0.000621029
18,568.603,1.81746,1.57411,1.54421,0.54753,0.45348,0.42511,0.16954,2.015,1.60319,1.75146,0.000603031,0.000603031,0.000603031
19,586.751,1.7955,1.55562,1.51791,0.83633,0.3541,0.43648,0.16757,2.05563,1.61706,1.75597,0.000585032,0.000585032,0.000585032
20,605.586,1.77558,1.5193,1.50138,0.48066,0.40018,0.4529,0.17443,1.98853,1.55888,1.70895,0.000567034,0.000567034,0.000567034
